Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
493,Michał Skóraś,DF,pl Poland,23,2000,1,23,23,8.5,0.3,0,,0,1,23,2,1.00,1,0,+1,+3.91,+5.37,0.8,0.2,+0.6,+2.45,+3.33,Matches
494,Łukasz Skorupski,GK,pl Poland,32,1991,1,90,90,33.3,1.0,1,90,1,0,,2,1.00,1,1,0,0.00,+1.50,1.2,2.3,-1.1,-1.13,-0.80,Matches
495,Andreas Skov Olsen,"MF,FW",dk Denmark,24,1999,3,122,41,33.9,1.4,1,68,0,2,27,1,0.67,0,2,-2,-1.48,-1.48,1.5,2.4,-0.8,-0.62,-0.76,Matches
496,Milan Škriniar,DF,sk Slovakia,28,1995,4,390,98,100.0,4.3,4,98,4,0,,0,1.00,4,5,-1,-0.23,,4.4,5.8,-1.4,-0.34,-0.34,Matches
497,Bartosz Slisz,MF,pl Poland,24,1999,2,110,55,40.7,1.2,1,74,0,1,36,1,0.00,1,3,-2,-1.64,-1.07,2.4,1.1,+1.3,+1.06,+2.80,Matches
498,Yann Sommer,GK,ch Switzerland,35,1988,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,+4,+0.75,,6.7,4.9,+1.8,+0.37,+0.37,Matches
499,Deian Sorescu,"MF,DF",ro Romania,26,1997,2,34,17,9.4,0.4,0,,0,2,17,2,0.50,0,0,0,0.00,+0.55,0.1,0.1,0.0,-0.07,+0.65,Matches
500,Borna Sosa,DF,hr Croatia,26,1998,1,7,7,2.6,0.1,0,,0,1,7,2,1.00,0,1,-1,-12.86,-12.17,0.2,0.5,-0.2,-3.18,-3.72,Matches
501,Tomáš Souček,MF,cz Czechia,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,5.1,4.3,+0.7,+0.24,,Matches
502,Uroš Spajić,DF,rs Serbia,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
503,Andraž Šporar,FW,si Slovenia,29,1994,4,338,85,86.7,3.8,4,85,1,0,,0,1.00,2,2,0,0.00,0.00,2.9,4.8,-1.9,-0.51,+1.14,Matches
504,Nicolae Stanciu,"MF,FW",ro Romania,30,1993,4,353,88,98.1,3.9,4,88,2,0,,0,1.00,4,5,-1,-0.25,+12.60,3.5,5.7,-2.2,-0.57,+4.89,Matches
505,Jindřich Staněk,GK,cz Czechia,27,1996,3,234,78,86.7,2.6,3,78,2,0,,0,0.33,2,4,-2,-0.77,-0.77,4.1,3.8,+0.3,+0.12,-0.90,Matches
506,Josip Stanišić,DF,hr Croatia,23,2000,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,1,4,-3,-1.50,-1.50,3.1,2.9,+0.2,+0.08,-1.08,Matches
507,Renato Steffen,DF,ch Switzerland,32,1991,1,1,1,0.2,0.0,0,,0,1,1,4,3.00,0,0,0,0.00,-0.75,0.0,0.0,0.0,0.00,-0.34,Matches
508,Taras Stepanenko,MF,ua Ukraine,34,1989,2,82,41,30.4,0.9,1,61,0,1,21,1,0.50,0,3,-3,-3.29,-3.77,0.8,1.4,-0.6,-0.68,-1.08,Matches
509,Leonidas Stergiou,DF,ch Switzerland,21,2002,3,48,16,10.0,0.5,0,,0,3,16,2,2.33,1,0,+1,+1.87,+1.25,1.2,0.7,+0.5,+0.90,+0.62,Matches
510,Petar Stojanović,MF,si Slovenia,28,1995,4,316,79,81.0,3.5,4,79,1,0,,0,1.00,1,1,0,0.00,0.00,2.0,4.3,-2.3,-0.65,+0.06,Matches
511,Nemanja Stojić,MF,rs Serbia,26,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
512,John Stones,DF,eng England,29,1994,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,+2,+0.26,,6.1,7.0,-1.0,-0.14,-0.14,Matches
513,Thomas Strakosha,GK,al Albania,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,3,5,-2,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
514,Dávid Strelec,FW,sk Slovakia,22,2001,4,182,46,46.7,2.0,2,65,0,2,26,0,1.00,2,2,0,0.00,+0.43,2.4,2.2,+0.2,+0.08,+0.74,Matches
515,Callum Styles,MF,hu Hungary,23,2000,1,60,60,22.2,0.7,1,60,0,0,,2,3.00,0,0,0,0.00,+1.29,0.4,0.0,+0.3,+0.49,+0.72,Matches
516,Luka Sučić,"FW,MF",hr Croatia,21,2002,3,140,47,51.9,1.6,1,69,0,2,36,0,0.67,3,1,+2,+1.29,+4.75,4.2,1.2,+2.9,+1.89,+3.02,Matches
517,Heorhiy Sudakov,MF,ua Ukraine,21,2002,3,262,87,97.0,2.9,3,87,2,0,,0,1.33,2,4,-2,-0.69,-0.69,2.7,2.8,-0.1,-0.03,-3.26,Matches
518,Pavel Šulc,MF,cz Czechia,23,2000,1,78,78,28.9,0.9,1,78,0,0,,2,0.00,1,1,0,0.00,+0.94,0.2,1.1,-0.9,-1.09,-1.87,Matches
519,Tomáš Suslov,"FW,MF",sk Slovakia,21,2002,4,126,32,32.3,1.4,0,,0,4,32,0,1.00,0,3,-3,-2.14,-2.82,1.3,1.5,-0.2,-0.21,+0.14,Matches
520,Adrian Șut,MF,ro Romania,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
521,Josip Šutalo,DF,hr Croatia,23,2000,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,3,6,-3,-1.00,,5.7,4.4,+1.3,+0.44,,Matches
522,Oleksandr Svatok,DF,ua Ukraine,29,1994,1,80,80,29.6,0.9,1,80,0,0,,2,1.00,0,0,0,0.00,+0.95,0.5,0.7,-0.2,-0.26,-0.48,Matches
523,Karol Świderski,FW,pl Poland,27,1997,3,90,30,33.3,1.0,0,,0,3,30,0,0.33,1,3,-2,-2.00,-1.50,2.5,1.9,+0.6,+0.56,+1.74,Matches
524,Serhiy Sydorchuk,MF,ua Ukraine,32,1991,1,6,6,2.2,0.1,0,,0,1,6,2,3.00,0,0,0,0.00,+0.68,0.0,0.0,0.0,-0.46,-0.55,Matches
525,Attila Szalai,DF,hu Hungary,26,1998,2,95,48,35.2,1.1,1,78,0,1,17,1,1.50,2,2,0,0.00,+1.54,2.1,1.7,+0.3,+0.31,+0.59,Matches
526,Péter Szappanos,GK,hu Hungary,33,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
527,Wojciech Szczęsny,GK,pl Poland,33,1990,2,180,90,66.7,2.0,2,90,2,0,,1,0.00,2,5,-3,-1.50,-1.50,2.9,3.6,-0.7,-0.33,+0.80,Matches
528,Dominik Szoboszlai,MF,hu Hungary,23,2000,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,5,-3,-1.00,,3.7,3.9,-0.2,-0.07,,Matches
529,Damian Szymański,MF,pl Poland,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
530,Sebastian Szymański,MF,pl Poland,24,1999,2,112,56,41.5,1.2,2,56,0,0,,1,0.50,1,2,-1,-0.80,+0.34,0.5,3.1,-2.6,-2.11,-2.59,Matches
531,Jemal Tabidze,DF,ge Georgia,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
532,Dušan Tadić,MF,rs Serbia,35,1988,3,156,52,57.8,1.7,1,81,0,2,38,0,0.67,0,1,-1,-0.58,-0.58,1.6,1.7,-0.1,-0.04,+0.26,Matches
533,Jonathan Tah,DF,de Germany,27,1996,4,319,80,66.5,3.5,4,80,2,0,,0,1.75,7,3,+4,+1.13,-0.55,5.1,2.3,+2.8,+0.79,-0.63,Matches
534,Maksym Talovierov,MF,ua Ukraine,23,2000,1,1,1,0.4,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,+0.67,0.0,0.0,0.0,-1.36,-1.44,Matches
535,Stefan Târnovanu,GK,ro Romania,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
536,Greg Taylor,"DF,MF",sct Scotland,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
537,Aurélien Tchouaméni,MF,fr France,24,2000,5,470,94,82.5,5.2,5,94,4,0,,1,1.20,3,3,0,0.00,-0.90,6.8,4.4,+2.3,+0.48,-0.51,Matches
538,Marc-André ter Stegen,GK,de Germany,31,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
539,Arthur Theate,DF,be Belgium,23,2000,3,256,85,71.1,2.8,3,85,2,0,,1,1.33,1,1,0,0.00,0.00,2.3,2.4,-0.1,-0.05,-1.12,Matches
540,Marcus Thuram,FW,fr France,26,1997,4,260,65,45.6,2.9,3,75,1,1,35,2,2.00,1,0,+1,+0.35,+0.35,4.7,2.4,+2.3,+0.90,+0.51,Matches
541,Youri Tielemans,MF,be Belgium,26,1997,3,148,49,41.1,1.6,2,66,0,1,17,1,1.33,1,0,+1,+0.61,+1.03,1.9,1.0,+0.9,+0.55,+0.47,Matches
542,Kieran Tierney,DF,sct Scotland,26,1997,2,136,68,50.4,1.5,2,68,0,0,,0,0.50,1,5,-4,-2.65,-1.98,0.2,2.8,-2.6,-1.72,-1.12,Matches
543,Ivan Toney,"FW,MF",eng England,27,1996,3,45,15,6.5,0.5,0,,0,3,15,4,1.33,2,0,+2,+4.00,+4.00,0.8,1.2,-0.4,-12.95,-12.88,Matches
544,Ferrán Torres,"FW,MF",es Spain,23,2000,5,155,31,23.5,1.7,1,71,0,4,21,2,3.00,2,1,+1,+0.58,-1.20,2.6,2.2,+0.4,+0.31,-0.61,Matches
545,Cenk Tosun,FW,tr Türkiye,32,1991,2,25,13,5.6,0.3,0,,0,2,13,3,1.50,1,0,+1,+3.60,+3.81,1.1,0.3,+0.8,+2.74,+3.24,Matches
546,Gernot Trauner,DF,at Austria,31,1992,2,90,45,25.0,1.0,1,58,0,1,32,1,1.50,1,1,0,0.00,-0.33,0.8,2.2,-1.4,-1.37,-2.05,Matches
547,Kieran Trippier,DF,eng England,33,1990,6,450,75,65.2,5.0,6,75,2,0,,1,2.00,3,4,-1,-0.20,-1.32,3.9,3.5,+0.4,+0.08,+0.61,Matches
548,Leandro Trossard,FW,be Belgium,29,1994,3,169,56,46.9,1.9,2,67,0,1,35,1,1.33,1,1,0,0.00,0.00,3.0,1.2,+1.7,+0.91,+1.20,Matches
549,Anatolii Trubin,GK,ua Ukraine,22,2001,2,180,90,66.7,2.0,2,90,2,0,,1,2.00,2,1,+1,+0.50,+3.50,2.3,1.7,+0.6,+0.28,+0.62,Matches
550,Heorhii Tsitaishvili,"DF,MF",ge Georgia,23,2000,4,190,48,52.8,2.1,2,67,0,2,28,0,1.00,2,5,-3,-1.42,-1.42,2.2,7.4,-5.2,-2.46,-1.54,Matches
551,Viktor Tsyhankov,FW,ua Ukraine,26,1997,1,62,62,23.0,0.7,1,62,0,0,,1,0.00,0,3,-3,-4.35,-4.79,0.2,1.1,-0.8,-1.19,-1.64,Matches
552,Ľubomír Tupta,MF,sk Slovakia,25,1998,1,12,12,3.1,0.1,0,,0,1,12,3,0.00,0,0,0,0.00,+0.24,0.3,0.1,+0.2,,,Matches
553,Oleksandr Tymchyk,DF,ua Ukraine,27,1997,3,199,66,73.7,2.2,2,90,2,1,19,0,1.33,2,1,+1,+0.45,+4.26,2.7,1.7,+0.9,+0.42,+1.34,Matches
554,Deniz Undav,MF,de Germany,27,1996,1,7,7,1.5,0.1,0,,0,1,7,3,1.50,1,2,-1,-12.86,-14.38,0.2,0.3,0.0,-0.44,-1.46,Matches
555,Dayot Upamecano,DF,fr France,25,1998,6,570,95,100.0,6.3,6,95,6,0,,0,1.50,4,3,+1,+0.16,,9.0,5.2,+3.8,+0.63,+0.63,Matches
556,Kacper Urbanski,"FW,MF",pl Poland,19,2004,3,148,49,54.8,1.6,2,72,1,1,4,0,0.33,2,2,0,0.00,+2.21,1.6,3.5,-1.9,-1.13,-1.19,Matches
557,Virgil van Dijk,DF,nl Netherlands,32,1991,6,540,90,100.0,6.0,6,90,6,0,,0,1.67,10,7,+3,+0.50,,8.0,6.4,+1.6,+0.26,,Matches
558,Vladyslav Vanat,FW,ua Ukraine,22,2002,1,21,21,7.8,0.2,0,,0,1,21,2,1.00,0,0,0,0.00,+0.72,0.5,0.3,+0.2,+0.86,+0.86,Matches
559,Barnabás Varga,FW,hu Hungary,30,1994,3,249,83,92.2,2.8,3,83,1,0,,0,1.00,1,5,-4,-1.45,-5.73,2.6,3.6,-1.0,-0.38,-3.94,Matches
560,Ruben Vargas,"MF,FW",ch Switzerland,25,1998,5,306,61,63.8,3.4,4,70,0,1,26,0,1.80,5,3,+2,+0.59,-0.45,3.9,2.9,+1.0,+0.30,-0.12,Matches
561,Denis Vavro,DF,sk Slovakia,27,1996,4,390,98,100.0,4.3,4,98,4,0,,0,1.00,4,5,-1,-0.23,,4.4,5.8,-1.4,-0.34,-0.34,Matches
562,Joey Veerman,MF,nl Netherlands,25,1998,6,209,35,38.7,2.3,2,48,0,4,29,0,1.67,4,3,+1,+0.43,-0.11,3.6,1.3,+2.3,+0.98,+1.18,Matches
563,Igor Vekič,GK,si Slovenia,25,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
564,Miloš Veljković,DF,rs Serbia,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,1,2,-1,-0.33,,2.1,2.6,-0.5,-0.15,,Matches
565,Micky van de Ven,DF,nl Netherlands,22,2001,4,70,18,13.0,0.8,0,,0,4,18,2,2.25,4,1,+3,+3.86,+3.86,1.4,1.2,+0.2,+0.31,+0.06,Matches
566,Benjamin Verbič,MF,si Slovenia,30,1993,3,74,25,19.0,0.8,0,,0,3,25,1,1.00,1,1,0,0.00,0.00,1.2,1.8,-0.6,-1.19,-0.59,Matches
567,Bart Verbruggen,GK,nl Netherlands,21,2002,6,540,90,100.0,6.0,6,90,6,0,,0,1.67,10,7,+3,+0.50,,8.0,6.4,+1.6,+0.26,,Matches
568,Arthur Vermeeren,MF,be Belgium,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
569,Jan Vertonghen,DF,be Belgium,36,1987,3,270,90,75.0,3.0,3,90,3,0,,1,1.33,2,1,+1,+0.33,+1.33,2.8,2.8,0.0,+0.01,-1.06,Matches
570,Jannik Vestergaard,DF,dk Denmark,31,1992,4,360,90,100.0,4.0,4,90,4,0,,0,0.75,2,4,-2,-0.50,,4.3,4.8,-0.5,-0.12,,Matches
571,Guglielmo Vicario,GK,it Italy,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
572,Domagoj Vida,"DF,MF",hr Croatia,34,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
573,Žan Vipotnik,FW,si Slovenia,21,2002,1,15,15,3.8,0.2,0,,0,1,15,3,1.00,0,1,-1,-6.00,-6.24,0.0,0.3,-0.3,-1.80,-1.19,Matches
574,Martin Vitík,DF,cz Czechia,21,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
575,Vitinha,MF,pt Portugal,23,2000,4,358,90,70.2,4.0,4,90,0,0,,1,2.00,4,1,+3,+0.75,+1.35,5.2,2.5,+2.7,+0.67,-0.71,Matches
576,Daniel Vivian,DF,es Spain,24,1999,2,123,62,18.6,1.4,1,90,1,1,33,5,3.00,1,0,+1,+0.73,-0.94,1.5,0.8,+0.7,+0.49,-0.39,Matches
577,Dušan Vlahović,"MF,FW",rs Serbia,24,2000,3,177,59,65.6,2.0,2,77,1,1,24,0,0.67,0,1,-1,-0.51,-0.51,1.3,1.4,0.0,-0.02,+0.38,Matches
578,Nikola Vlašić,"FW,MF",hr Croatia,26,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
579,Tomáš Vlček,DF,cz Czechia,22,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
580,Aster Vranckx,MF,be Belgium,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
581,Stefan de Vrij,DF,nl Netherlands,31,1992,6,540,90,100.0,6.0,6,90,6,0,,0,1.67,10,7,+3,+0.50,,8.0,6.4,+1.6,+0.26,,Matches
582,Kyle Walker,DF,eng England,33,1990,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,+2,+0.26,,6.1,7.0,-1.0,-0.14,-0.14,Matches
583,Sebastian Walukiewicz,DF,pl Poland,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
584,Ollie Watkins,FW,eng England,28,1995,3,62,21,9.0,0.7,0,,0,3,21,4,1.33,2,1,+1,+1.45,+1.31,0.7,1.2,-0.4,-0.63,-0.56,Matches
585,Wout Weghorst,FW,nl Netherlands,31,1992,6,138,23,25.6,1.5,0,,0,6,23,0,1.67,5,2,+3,+1.96,+1.96,1.8,1.5,+0.3,+0.22,-0.06,Matches
586,Andreas Weimann,FW,at Austria,32,1991,1,1,1,0.3,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,-0.25,0.0,0.0,0.0,-1.72,-1.89,Matches
587,Adam Wharton,MF,eng England,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
588,Silvan Widmer,DF,ch Switzerland,30,1993,4,299,75,62.3,3.3,3,81,1,1,57,0,1.50,5,4,+1,+0.30,-1.19,4.2,3.8,+0.4,+0.13,-0.49,Matches
589,Georginio Wijnaldum,MF,nl Netherlands,33,1990,3,73,24,13.5,0.8,0,,0,3,24,3,1.33,2,1,+1,+1.23,+0.85,0.5,1.2,-0.7,-0.85,-1.28,Matches
590,Nico Williams,FW,es Spain,21,2002,6,492,82,74.5,5.5,6,82,2,0,,1,3.00,13,3,+10,+1.83,+1.29,9.8,4.1,+5.7,+1.05,+0.94,Matches
591,Patrick Wimmer,"FW,MF",at Austria,22,2001,3,138,46,38.3,1.5,1,62,0,2,38,0,2.00,4,1,+3,+1.96,+2.77,2.5,3.2,-0.7,-0.42,-0.96,Matches
592,Jonas Wind,FW,dk Denmark,24,1999,4,193,48,53.6,2.1,3,61,0,1,10,0,0.75,2,2,0,0.00,+1.08,2.6,2.2,+0.4,+0.18,+0.65,Matches
593,Florian Wirtz,"FW,MF",de Germany,20,2003,5,279,56,58.1,3.1,3,65,0,2,43,0,2.00,5,3,+2,+0.65,-1.59,5.7,2.4,+3.3,+1.19,+0.39,Matches
594,Axel Witsel,"DF,MF",be Belgium,35,1989,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
595,Maximilian Wöber,DF,at Austria,25,1998,3,175,58,48.6,1.9,2,74,1,1,27,1,1.00,4,3,+1,+0.51,+0.51,3.5,2.8,+0.7,+0.37,+0.39,Matches
596,Granit Xhaka,MF,ch Switzerland,31,1992,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,+4,+0.75,,6.7,4.9,+1.8,+0.37,+0.37,Matches
597,Lamine Yamal,FW,es Spain,16,2007,7,503,72,76.2,5.6,6,81,1,1,19,0,3.00,13,3,+10,+1.79,+1.22,10.1,4.3,+5.8,+1.03,+0.93,Matches
598,Roman Yaremchuk,FW,ua Ukraine,28,1995,3,121,40,44.8,1.3,1,69,0,2,26,0,1.33,1,0,+1,+0.74,+2.56,1.2,0.8,+0.4,+0.27,+0.36,Matches
599,Andriy Yarmolenko,"FW,MF",ua Ukraine,34,1989,3,104,35,38.5,1.2,1,66,0,2,19,0,1.33,1,1,0,0.00,+1.08,1.9,0.8,+1.1,+0.97,+1.47,Matches
600,Yusuf Yazıcı,"MF,FW",tr Türkiye,27,1997,2,57,29,12.7,0.6,0,,0,2,29,3,1.50,1,1,0,0.00,0.00,1.0,1.5,-0.5,-0.73,-0.46,Matches
601,Bertuğ Yıldırım,FW,tr Türkiye,21,2002,0,,,0.0,0.0,0,,0,0,,4,0.00,1,2,-1,,,,,,,,Matches
602,Kenan Yıldız,"FW,MF",tr Türkiye,18,2005,5,345,69,76.7,3.8,4,78,0,1,33,0,1.80,6,5,+1,+0.26,+1.12,4.6,5.9,-1.4,-0.36,-0.15,Matches
603,Okay Yokuşlu,"MF,DF",tr Türkiye,29,1994,3,55,18,12.2,0.6,0,,0,3,18,2,2.00,1,1,0,0.00,0.00,1.4,2.1,-0.7,-1.15,-0.95,Matches
604,İsmail Yüksek,MF,tr Türkiye,25,1999,3,152,51,33.8,1.7,2,60,0,1,33,1,2.00,2,0,+2,+1.18,+1.79,1.5,2.2,-0.7,-0.44,-0.18,Matches
605,Illia Zabarnyi,DF,ua Ukraine,21,2002,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,4,-2,-0.67,,3.0,2.8,+0.2,+0.07,,Matches
606,Mattia Zaccagni,"MF,FW",it Italy,28,1995,3,82,27,22.8,0.9,0,,0,3,27,1,0.33,1,1,0,0.00,+0.65,0.9,0.7,+0.2,+0.21,+0.72,Matches
607,Warren Zaïre-Emery,MF,fr France,17,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
608,Denis Zakaria,MF,ch Switzerland,27,1996,1,23,23,4.8,0.3,0,,0,1,23,2,1.00,0,0,0,0.00,-0.79,0.3,0.1,+0.2,,,Matches
609,Nicola Zalewski,DF,pl Poland,22,2002,3,247,82,91.5,2.7,3,82,2,0,,0,0.33,2,6,-4,-1.46,-5.37,3.2,5.6,-2.4,-0.88,-3.33,Matches
610,Adrian Zeljković,MF,si Slovenia,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
611,Cedric Zesiger,DF,ch Switzerland,25,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
612,Piotr Zieliński,MF,pl Poland,29,1994,3,253,84,93.7,2.8,3,84,1,0,,0,0.33,3,5,-2,-0.71,+4.58,2.9,5.7,-2.8,-0.99,-6.30,Matches
613,David Zima,DF,cz Czechia,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
614,Oleksandr Zinchenko,DF,ua Ukraine,27,1996,3,213,71,78.9,2.4,2,90,2,1,33,0,1.33,2,4,-2,-0.85,-0.85,2.7,2.3,+0.4,+0.19,+0.54,Matches
615,Joshua Zirkzee,"FW,DF",nl Netherlands,22,2001,2,5,3,0.9,0.1,0,,0,2,3,4,1.50,0,0,0,0.00,-0.50,0.1,0.3,-0.3,-5.17,-5.48,Matches
616,Andrija Živković,DF,rs Serbia,27,1996,3,244,81,90.4,2.7,3,81,1,0,,0,0.67,0,2,-2,-0.74,-4.20,1.7,2.4,-0.7,-0.25,-1.05,Matches
617,Budu Zivzivadze,"FW,MF",ge Georgia,29,1994,2,18,9,5.0,0.2,0,,0,2,9,2,0.00,0,2,-2,-10.00,-9.74,0.2,1.9,-1.6,-8.20,-6.81,Matches
618,Steven Zuber,MF,ch Switzerland,32,1991,2,77,39,16.0,0.9,0,,0,2,39,1,2.00,1,1,0,0.00,-0.89,1.3,0.9,+0.4,+0.70,+0.40,Matches
619,Martín Zubimendi,MF,es Spain,24,1999,4,141,35,21.4,1.6,1,90,1,3,17,3,3.00,3,1,+2,+1.28,-0.28,3.0,0.9,+2.1,+1.36,+0.70,Matches
620,Oleksandr Zubkov,FW,ua Ukraine,27,1996,1,24,24,8.9,0.3,0,,0,1,24,2,3.00,1,0,+1,+3.75,+4.85,0.4,0.2,+0.1,+0.54,+0.51,Matches
621,Nino Žugelj,FW,si Slovenia,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
