Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
404,Peter Pekarík,DF,sk Slovakia,37,1986,4,377,94,96.7,4.2,4,94,2,0,,0,1.00,4,5,-1,-0.24,-0.24,4.1,5.7,-1.5,-0.36,-1.37,Matches
405,Lorenzo Pellegrini,"FW,MF",it Italy,27,1996,4,218,55,60.6,2.4,3,67,0,1,16,0,1.00,2,2,0,0.00,+1.27,2.1,2.2,-0.1,-0.04,+0.77,Matches
406,Patrick Pentz,GK,at Austria,27,1997,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,+1,+0.25,,6.9,6.3,+0.7,+0.17,,Matches
407,Pepe,DF,pt Portugal,40,1983,4,408,102,80.0,4.5,4,102,2,0,,1,2.00,5,1,+4,+0.88,+2.65,7.3,2.8,+4.4,+1.05,+0.65,Matches
408,Danilo Pereira,DF,pt Portugal,32,1991,1,90,90,17.6,1.0,1,90,1,0,,4,0.00,0,2,-2,-2.00,-2.86,2.0,1.6,+0.3,+0.35,-0.65,Matches
409,Ayoze Pérez,FW,es Spain,30,1993,1,13,13,2.0,0.1,0,,0,1,13,4,3.00,0,0,0,0.00,-1.53,0.4,0.1,+0.3,+2.15,+1.37,Matches
410,Ivan Perišić,"DF,FW",hr Croatia,34,1989,3,139,46,51.5,1.5,1,83,0,2,28,0,0.67,2,2,0,0.00,+2.06,3.3,1.4,+1.9,+1.20,+1.56,Matches
411,Bruno Petković,FW,hr Croatia,29,1994,2,87,44,32.2,1.0,1,68,0,1,19,1,0.50,0,1,-1,-1.03,-0.05,2.3,1.0,+1.3,+1.31,+1.28,Matches
412,Đorđe Petrović,GK,rs Serbia,24,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
413,Krzysztof Piątek,FW,pl Poland,28,1995,1,59,59,21.9,0.7,1,59,0,0,,2,0.00,1,1,0,0.00,+1.28,1.1,0.7,+0.4,+0.64,+1.58,Matches
414,Jordan Pickford,GK,eng England,29,1994,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,+2,+0.26,,6.1,7.0,-1.0,-0.14,-0.14,Matches
415,Jakub Piotrowski,MF,pl Poland,26,1997,2,58,29,21.5,0.6,1,45,0,1,13,1,0.00,1,2,-1,-1.55,-0.70,1.9,0.7,+1.2,+1.90,+3.18,Matches
416,Marko Pjaca,"FW,MF",hr Croatia,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
417,Marin Pongračić,DF,hr Croatia,26,1997,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,1,4,-3,-1.50,-1.50,3.1,2.9,+0.2,+0.08,-1.08,Matches
418,Ryan Porteous,DF,sct Scotland,24,1999,1,43,43,15.9,0.5,1,43,0,0,,0,0.00,0,2,-2,-4.19,-3.00,0.0,0.5,-0.5,-1.06,+0.12,Matches
419,Stefan Posch,DF,at Austria,26,1997,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,+1,+0.25,,6.9,6.3,+0.7,+0.17,,Matches
420,Yussuf Poulsen,"FW,MF",dk Denmark,29,1994,4,57,14,15.8,0.6,0,,0,4,14,0,0.75,0,0,0,0.00,+0.59,0.7,0.7,0.0,+0.03,+0.18,Matches
421,Alexander Prass,DF,at Austria,22,2001,4,166,42,46.1,1.8,1,90,1,3,25,0,1.50,6,3,+3,+1.63,+2.55,5.0,2.5,+2.5,+1.38,+2.26,Matches
422,Lukáš Provod,MF,cz Czechia,27,1996,3,232,77,85.9,2.6,3,77,0,0,,0,0.33,3,3,0,0.00,+4.74,4.5,3.0,+1.5,+0.58,+2.45,Matches
